sentence,start,end
Add 250 μl of Cell Resuspension Solution,18.0,35.0
Add 250 μl of Cell Lysis Solution,47.0,57.0
Invert 4 times to mix,65.0,67.0
Add 10 μl of Alkaline Protease Solution,79.0,91.0
Invert 4 times to mix,95.0,98.0
Incubate 2 minutes at room temperature,99.0,106.0
Add 350 μl of Neutralization Solution,110.0,130.0
Invert 4 times to mix,135.0,138.0
Centrifuge at top speed for 5 minutes at room temperature,141.0,147.0
Insert Spin Column into Collection Tube,147.0,157.0
Decant cleared lysate into Spin Column,159.0,162.0
Centrifuge at top speed for 30 seconds at room temperature,169.0,174.0
Discard flowthrough,176.0,178.0
Reinsert Spin Column into Collection Tube,179.0,180.0
Add 750 μl of Wash Solution,189.0,201.0
Centrifuge at top speed for 30 seconds,212.0,215.0
Discard flowthrough,216.0,218.0
Reinsert Spin Column into Collection Tube,219.0,220.0
Add 250 μl of Wash Solution,233.0,244.0
Centrifuge at top speed for 30 seconds,255.0,258.0
Discard flowthrough,259.0,261.0
Reinsert Spin Column into Collection Tube,261.0,262.0
Centrifuge at top speed for 1 minute at room temperature,263.0,266.0
Discard flowthrough,267.0,268.0
Transfer Spin Column to a sterile 15 ml microcentrifuge tube,272.0,273.0
Add 100 μl of Nuclease-Free Water to the Spin Column,283.0,291.0
Centrifuge at top speed for 1 minute at room temperature,303.0,306.0
Discard Spin Column,307.0,308.0
